Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:Croydon,E09000008,27897,7.7,28163,7.4,29299,6.6,30093,6.5,29372,9.6,32065,6.7,34226,5.8
ladu:Ealing,E09000009,27197,8.9,26847,10,27673,6.7,27892,4.8,31292,8,29676,5.6,30941,5.6
ladu:Enfield,E09000010,25818,5.5,25270,6.3,26000,6.6,25951,9,26060,5.7,27519,6.3,29499,7.1
ladu:Greenwich,E09000011,28860,5.7,28078,7.5,30923,8.4,31117,5.7,32186,10,31116,7.4,34509,6
ladu:Harrow,E09000015,27487,14,27969,9.3,27736,9,29599,6,32449,9.9,30979,11,31935,8.2
ladu:Havering,E09000016,28106,5.3,28826,6.5,27633,11,29154,4.7,31013,5.9,30587,5.4,31580,6.5
ladu:Hillingdon,E09000017,27456,6.1,27085,5.3,26433,8.2,28305,6.8,29525,6.2,30815,7.4,34149,15
ladu:Hounslow,E09000018,26797,6.7,26474,9.4,27564,7.2,29931,9.5,29279,8.7,26840,5.6,31104,18
ladu:Kingston upon Thames,E09000021,31434,9.4,31839,9.5,32160,8.7,34142,9.5,36045,14,35130,8.6,37495,8.6
ladu:Merton,E09000024,30725,14,30834,9.9,32299,7.1,32521,8.9,32196,9.3,29884,6.1,30117,7.3
ladu:Redbridge,E09000026,28690,5.7,28999,8.1,29634,8.3,29375,6.8,30733,8.5,31407,16,31512,17
ladu:Richmond upon Thames,E09000027,37704,11,36361,8.6,36098,11,37025,13,37023,13,36520,11,38012,10
ladu:Sutton,E09000029,26679,8.3,27383,6.2,28617,16,29925,8.7,28387,9.2,29931,9.6,29836,12
ladu:Waltham Forest,E09000031,26043,7.8,26343,9.6,28630,4.9,29300,6,32397,6.4,31996,5.5,34785,6.5
ladu:Bracknell Forest,E06000036,27067,6.3,27610,11,27050,11,29393,13,28377,8.7,31911,10,33640,10
ladu:Brighton and Hove,E06000043,23957,9.8,24187,6.7,24448,8,25791,5.3,27639,7.8,26289,7.9,27360,6
ladu:Isle of Wight,E06000046,20053,9.1,20818,8.3,21565,8.5,21104,12,24852,11,21640,8,-,-
ladu:Medway,E06000035,24559,9.1,24828,5.7,25857,6.6,26544,4.8,28253,7.2,26893,5.8,27597,8.8
ladu:Milton Keynes,E06000042,25507,5,26529,7.4,26527,6.9,28728,4.8,28930,5.8,29713,4.9,-,-
ladu:Portsmouth,E06000044,21877,6.4,21924,7.1,22126,8,23237,8.5,22900,10,24999,6.1,27515,13
ladu:Reading,E06000038,25334,18,25420,14,27090,9.3,28041,5.9,28827,8.7,31183,11,30925,20
ladu:Slough,E06000039,25124,13,25939,9.5,28078,6.6,28086,16,28009,8.7,29758,7.9,30694,8.7
ladu:Southampton,E06000045,20908,6.3,22465,7.3,22039,6.3,24313,13,25384,5,26970,5.2,29496,4.8
ladu:West Berkshire,E06000037,28347,11,27586,6.8,27628,8,29176,12,28098,7.7,31009,6.4,31106,-
ladu:Windsor and Maidenhead,E06000040,32188,9.5,33896,14,33253,7.6,-,-,34622,12,32210,8.7,-,-
ladu:Wokingham,E06000041,-,-,30990,8.6,33716,7.7,29771,11,30910,17,33925,13,38306,8.4
ladu:Buckinghamshire,E06000060,26000,8,26995,8.2,28090,3.8,29302,4.8,30079,5.2,29170,6.2,31188,5.1
ladu:Eastbourne,E07000061,19557,10,20483,10,22840,11,23352,11,24153,14,23627,17,25129,9.7
ladu:Hastings,E07000062,19304,7.7,19904,19,20121,7.3,20787,8.3,22025,9.7,22988,7.8,24596,9.4
ladu:Lewes,E07000063,21156,17,22245,13,24050,19,25000,13,26250,9.1,27142,11,27451,12
ladu:Rother,E07000064,19824,11,-,-,19868,13,22363,12,21797,13,22401,9.2,-,-
ladu:Wealden,E07000065,23081,8.7,23157,11,-,-,23988,18,26103,15,24498,10,25509,17
